id,project_id,src,stars,forks,downloads,mentions,captured_at,created_at
1,angular/angular,github,98301,26416,,,2025-07-17 21:35:36.037+00,2025-07-17 21:35:36.24054+00
2,ant-design/ant-design,github,95398,52969,,,2025-07-17 21:35:36.413+00,2025-07-17 21:35:36.466019+00
3,auth0/node-jsonwebtoken,github,18018,1246,,,2025-07-17 21:35:36.655+00,2025-07-17 21:35:36.713546+00
4,Automattic/mongoose,github,27286,3859,,,2025-07-17 21:35:36.948+00,2025-07-17 21:35:37.138447+00
5,axios/axios,github,107229,11173,,,2025-07-17 21:35:37.332+00,2025-07-17 21:35:37.383821+00
6,chakra-ui/chakra-ui,github,39378,3445,,,2025-07-17 21:35:37.676+00,2025-07-17 21:35:37.733841+00
7,colinhacks/zod,github,39077,1529,,,2025-07-17 21:35:37.892+00,2025-07-17 21:35:37.946526+00
8,date-fns/date-fns,github,35933,1833,,,2025-07-17 21:35:38.172+00,2025-07-17 21:35:38.226818+00
9,dcodeIO/bcrypt.js,github,3704,279,,,2025-07-17 21:35:38.406+00,2025-07-17 21:35:38.461043+00
10,eslint/eslint,github,26106,4760,,,2025-07-17 21:35:38.691+00,2025-07-17 21:35:38.895614+00
11,expressjs/cors,github,6144,483,,,2025-07-17 21:35:39.086+00,2025-07-17 21:35:39.143265+00
12,expressjs/express,github,67351,19493,,,2025-07-17 21:35:39.332+00,2025-07-17 21:35:39.386574+00
13,expressjs/multer,github,11855,1074,,,2025-07-17 21:35:39.578+00,2025-07-17 21:35:39.689412+00
14,facebook/jest,github,44899,6574,,,2025-07-17 21:35:40.05+00,2025-07-17 21:35:40.116169+00
15,facebook/react,github,237358,48944,,,2025-07-17 21:35:40.359+00,2025-07-17 21:35:40.411588+00
16,fastify/fastify,github,34160,2449,,,2025-07-17 21:35:40.628+00,2025-07-17 21:35:40.682341+00
17,helmetjs/helmet,github,10457,382,,,2025-07-17 21:35:40.891+00,2025-07-17 21:35:40.947344+00
18,iamkun/dayjs,github,47990,2369,,,2025-07-17 21:35:41.113+00,2025-07-17 21:35:41.168121+00
